101835528RR0001,41455,,,,,,,,,,,,,
101835536RR0001,41455,,,,,,,,,,,,,
101835544RR0001,41364,4,3,1,,,,,,,,6,56006,201982
101835585RR0001,41639,,,,,,,,,,,,,
101835635RR0001,41455,,,,,,,,,,,,,
101835643RR0001,41639,,,,,,,,,,,,,
101835650RR0001,41639,,,,,,,,,,,,,
101835692RR0001,41364,,,,,,,,,,,,,
101835718RR0001,41639,,,,,,,,,,,,,
101835767RR0001,41639,,,,,,,,,,,,,
101835783RR0001,41425,,,,,,,,,,,,,
101835841RR0001,41364,12,9,1,,,,,,,,,76872,580105
101835866RR0001,41364,2,1,1,,,,,,,,27,375567,448935
101836054RR0001,41517,,,,,,,,,,,,,
101836179RR0001,41364,,,,,,,,,,,,,
101836252RR0001,41364,,,,,,,,,,,,,
101836260RR0001,41364,,,,,,,,,,,,,
101836294RR0001,41639,2,1,1,,,,,,,,,,145752
101836302RR0001,41639,,,,,,,,,,,,,
101836369RR0001,41364,,,,,,,,,,,,,
101836377RR0001,41639,,,,,,,,,,,,,
101836526RR0001,41364,,,,,,,,,,,,,
101836542RR0001,41364,10,6,4,,,,,,,,9,77590,421434
101836575RR0001,41639,,,,,,,,,,,,,
101836583RR0001,41455,,,,,,,,,,,,,
101836633RR0001,41639,37,27,9,1,,,,,,,4,49262,1181241
101836641RR0001,41639,15,6,3,,1,,,,,,20,194950,951100
101836773RR0001,41364,13,7,2,1,,,,,,,,,383918
101836823RR0001,41364,8,6,2,,,,,,,,,,282009
101836880RR0001,41639,1,1,,,,,,,,,,11416,11416
101837078RR0001,41639,,,,,,,,,,,2,9542,9542
101837219RR0001,41639,,,,,,,,,,,,,
101837276RR0001,41455,,,,,,,,,,,,,
101837318RR0001,41394,1,1,,,,,,,,,,,36625
101837342RR0001,41639,1,1,,,,,,,,,,,28188
101837367RR0001,41639,,,,,,,,,,,,,
101837748RR0001,41455,,,,,,,,,,,,,
101837847RR0001,41364,,,,,,,,,,,,,
101837862RR0001,41364,,,,,,,,,,,,,
101837896RR0001,41364,16,,6,3,1,,,,,,3,112943,1212398
101838126RR0001,41517,,,,,,,,,,,,,
101851202RR0001,41517,1,1,,,,,,,,,1,4100,
101857217RR0001,41455,,,,,,,,,,,,,
101864783RR0001,41639,6,5,3,,,,,,,,2,43465,265194
101885226RR0001,41639,5,5,,,,,,,,,11,65909,231783
101894277RR0001,41455,,,,,,,,,,,,,
101894319RR0001,41639,11,,8,1,1,,,,,,7,124486,849731
101894426RR0001,41578,9,3,2,,,,,,,,24,148139,376292
101905156RR0001,41425,,,,,,,,,,,2,70637,70637
101944197RR0001,41364,21,20,1,,,,,,,,,,880047
101944213RR0001,41364,18,,,,,,,,,,25,207122,852310
101944296RR0001,41364,31,,9,1,,,,,,,13,145377,1603265
101944536RR0001,41364,28,26,2,,,,,,,,25,279726,1482899
101944577RR0001,41364,45,25,19,1,,,,,,,,,
101944650RR0001,41364,15,14,,1,,,,,,,10,121955,809940
101944817RR0001,41364,43,,9,1,,,,,,,34,307074,2421944
101944866RR0001,41364,27,,10,,,,,,,,,,972838
101944882RR0001,41364,,,,,,,,,,,,,
101944916RR0001,41364,50,,9,1,,,,,,,,,3056999
101944981RR0001,41364,34,34,3,,,,,,,,65,257515,1403765
101944999RR0001,41364,10,6,3,1,,,,,,,23,190587,721532
101945020RR0001,41364,,,,,,,,,,,,,
101945079RR0001,41364,30,,9,1,,,,,,,35,286049,1646956
101945285RR0001,41364,16,7,3,,,,,,,,16,145000,858063
101945293RR0001,41364,20,10,1,,,,,,,,,,1040532
101945384RR0001,41364,50,5,4,1,,,,,,,40,478664,2558791
101945418RR0001,41364,23,18,4,1,,,,,,,40,213686,1091641
101945467RR0001,41364,50,47,3,,,,,,,,29,31845,1146802
